     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

    2     1     2000031      1.71     1.47         3150
                2000031      1.18     0.98       1/2674     46.76%    0.71
    1     1     1000052      0.54     0.49         3150
                1000052      0.54     0.49       1/5858    100.00%    0.41

  X向最大层间位移角：  1/1120  (15层1塔)

  === 工况18 === Y 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000120     81.78    79.44         3150
               31000186      2.75     2.75       1/1146      1.99%    1.00
   30     1    30000186     79.21    76.85         3150
               30000186      2.80     2.80       1/1123      2.28%    0.78
   29     1    29000186     76.60    74.24         3150
               29000120      2.87     2.86       1/1098      2.45%    0.86
   28     1    28000120     73.95    71.58         3150
               28000120      2.94     2.94       1/1070      2.38%    0.87
   27     1    27000120     71.25    68.86         3150
               27000120      3.02     3.01       1/1044      2.17%    0.87
   26     1    26000186     68.48    66.10         3150
               26000186      3.09     3.07       1/1020      1.89%    0.87
   25     1    25000120     65.66    63.27         3150
               25000120      3.15     3.13       1/1000      1.58%    0.87
   24     1    24000120     62.78    60.40         3150
               24000120      3.21     3.18       1/ 983      1.26%    0.86
   23     1    23000186     59.84    57.48         3150
               23000186      3.25     3.22       1/ 969      0.94%    0.86
   22     1    22000186     56.85    54.51         3150
               22000186      3.29     3.25       1/ 958      0.63%    0.85
   21     1    21000120     53.82    51.50         3150
               21000120      3.31     3.27       1/ 951      0.32%    0.85
   20     1    20000186     50.74    48.46         3150
               20000322      3.33     3.28       1/ 946      0.08%    0.84
   19     1    19000186     47.63    45.39         3150
               19000186      3.33     3.28       1/ 945      0.21%    0.84
   18     1    18000120     44.50    42.30         3150
               18000322      3.33     3.27       1/ 945      0.46%    0.83
   17     1    17000186     41.35    39.20         3150
               17000186      3.32     3.25       1/ 948      0.73%    0.83
   16     1    16000120     38.18    36.10         3150
               16000120      3.31     3.23       1/ 952      1.04%    0.82
   15     1    15000120     35.01    33.00         3150
               15000186      3.28     3.20       1/ 960      1.45%    0.82
   14     1    14000120     31.84    29.92         3150
               14000120      3.24     3.15       1/ 972      1.74%    0.81
   13     1    13000186     28.69    26.86         3150
               13000120      3.20     3.10       1/ 986      2.23%    0.81
   12     1    12000120     25.57    23.84         3150
               12000120      3.13     3.03       1/1005      2.86%    0.80
   11     1    11000186     22.49    20.87         3150
               11000186      3.06     2.94       1/1031      3.70%    0.79
   10     1    10000186     19.48    17.98         3150
               10000186      2.96     2.83       1/1065      4.54%    0.78
    9     1     9000120     16.56    15.19         3150
                9000322      2.84     2.70       1/1110      5.87%    0.77
    8     1     8000120     13.74    12.51         3150
                8000186      2.69     2.55       1/1171      7.66%    0.75
    7     1     7000186     11.07     9.99         3150
                7000186      2.51     2.35       1/1257     10.34%    0.73
    6     1     6000120      8.57     7.66         3150
                6000186      2.28     2.11       1/1380     14.15%    0.69
    5     1     5000186      6.30     5.56         3150
                5000322      2.01     1.81       1/1570     21.42%    0.66
    4     1     4000120      4.30     3.76         3150
                4000120      1.68     1.42       1/1873     25.83%    0.60
    3     1     3000190      2.62     2.35         3150
                3000190      1.32     0.77       1/2381     18.60%    0.57
    2     1     2000045      1.34     1.27         3150
                2000045      0.94     0.87       1/3353     53.26%    0.63
    1     1     1000051      0.40     0.40         3150
                1000051      0.40     0.40       1/7795    100.00%    0.36

  Y向最大层间位移角：  1/945  (19层1塔)

  === 工况14 === Y+ 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000186     91.55    79.56         3150
               31000120      3.04     2.74       1/1038      1.99%    1.00
   30     1    30000186     88.72    76.98         3150
               30000120      3.10     2.80       1/1015      2.28%    0.78
   29     1    29000186     85.85    74.37         3150
               29000186      3.18     2.86       1/ 991      2.46%    0.86
   28     1    28000120     82.92    71.71         3150
               28000186      3.27     2.93       1/ 965      2.39%    0.87
   27     1    27000120     79.93    69.00         3150
               27000120      3.35     3.00       1/ 940      2.18%    0.87
   26     1    26000186     76.87    66.24         3150
               26000120      3.43     3.07       1/ 917      1.90%    0.87
   25     1    25000186     73.74    63.42         3150
               25000120      3.51     3.13       1/ 898      1.59%    0.87
   24     1    24000120     70.55    60.55         3150
               24000120      3.57     3.18       1/ 882      1.27%    0.86
   23     1    23000120     67.29    57.63         3150
               23000120      3.63     3.22       1/ 869      0.96%    0.86
   22     1    22000186     63.97    54.66         3150
               22000186      3.67     3.25       1/ 859      0.64%    0.85
   21     1    21000186     60.60    51.66         3150
               21000186      3.70     3.27       1/ 851      0.34%    0.85
   20     1    20000120     57.17    48.61         3150
               20000322      3.72     3.28       1/ 847      0.05%    0.84
   19     1    19000186     53.71    45.54         3150
               19000120      3.73     3.28       1/ 845      0.19%    0.84
   18     1    18000186     50.22    42.46         3150
               18000322      3.73     3.27       1/ 845      0.44%    0.83
   17     1    17000120     46.69    39.36         3150
               17000186      3.72     3.26       1/ 846      0.71%    0.83
   16     1    16000186     43.15    36.25         3150
               16000120      3.71     3.23       1/ 850      1.01%    0.82
   15     1    15000186     39.60    33.15         3150
               15000186      3.68     3.20       1/ 856      1.42%    0.82
   14     1    14000120     36.06    30.06         3150
               14000186      3.64     3.16       1/ 865      1.70%    0.81
   13     1    13000186     32.52    26.99         3150
               13000186      3.59     3.10       1/ 877      2.19%    0.81
   12     1    12000186     29.02    23.97         3150
               12000120      3.53     3.03       1/ 893      2.82%    0.80
   11     1    11000120     25.56    20.99         3150
               11000186      3.44     2.95       1/ 915      3.65%    0.79
   10     1    10000120     22.17    18.09         3150
               10000186      3.34     2.84       1/ 944      4.49%    0.78
    9     1     9000186     18.87    15.29         3150
                9000322      3.21     2.71       1/ 982      5.80%    0.77
    8     1     8000186     15.69    12.60         3150
                8000186      3.05     2.56       1/1034      7.58%    0.75
    7     1     7000186     12.67    10.07         3150
                7000186      2.85     2.36       1/1107     10.22%    0.73
    6     1     6000186      9.83     7.72         3150
                6000186      2.60     2.12       1/1213     13.98%    0.69
    5     1     5000120      7.25     5.61         3150
